REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 138.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 154.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 100.000000, IMAGINARY DATA:           x
REAL DATA: 102.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 119.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 132.000000, IMAGINARY DATA:           x
REAL DATA: 138.000000, IMAGINARY DATA:           x
REAL DATA: 144.000000, IMAGINARY DATA:           x
REAL DATA: 147.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 105.000000, IMAGINARY DATA:           x
REAL DATA: 102.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 119.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 150.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 112.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 132.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 112.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 161.000000, IMAGINARY DATA:           x
REAL DATA: 167.000000, IMAGINARY DATA:           x
REAL DATA: 161.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 98.000000, IMAGINARY DATA:           x
REAL DATA: 83.000000, IMAGINARY DATA:           x
REAL DATA: 82.000000, IMAGINARY DATA:           x
REAL DATA: 95.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 138.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 119.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 132.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 101.000000, IMAGINARY DATA:           x
REAL DATA: 106.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 161.000000, IMAGINARY DATA:           x
REAL DATA: 164.000000, IMAGINARY DATA:           x
REAL DATA: 154.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 118.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 106.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 119.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 138.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 141.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 103.000000, IMAGINARY DATA:           x
REAL DATA: 97.000000, IMAGINARY DATA:           x
REAL DATA: 105.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 150.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 114.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 147.000000, IMAGINARY DATA:           x
REAL DATA: 151.000000, IMAGINARY DATA:           x
REAL DATA: 147.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 104.000000, IMAGINARY DATA:           x
REAL DATA: 105.000000, IMAGINARY DATA:           x
REAL DATA: 111.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 132.000000, IMAGINARY DATA:           x
REAL DATA: 144.000000, IMAGINARY DATA:           x
REAL DATA: 151.000000, IMAGINARY DATA:           x
REAL DATA: 150.000000, IMAGINARY DATA:           x
REAL DATA: 141.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 118.000000, IMAGINARY DATA:           x
REAL DATA: 114.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 119.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 153.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 97.000000, IMAGINARY DATA:           x
REAL DATA: 92.000000, IMAGINARY DATA:           x
REAL DATA: 100.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 156.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 138.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 111.000000, IMAGINARY DATA:           x
REAL DATA: 109.000000, IMAGINARY DATA:           x
REAL DATA: 114.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 106.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 104.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 143.000000, IMAGINARY DATA:           x
REAL DATA: 161.000000, IMAGINARY DATA:           x
REAL DATA: 166.000000, IMAGINARY DATA:           x
REAL DATA: 156.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 102.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 106.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 144.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 141.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 93.000000, IMAGINARY DATA:           x
REAL DATA: 91.000000, IMAGINARY DATA:           x
REAL DATA: 103.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 150.000000, IMAGINARY DATA:           x
REAL DATA: 165.000000, IMAGINARY DATA:           x
REAL DATA: 164.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 100.000000, IMAGINARY DATA:           x
REAL DATA: 103.000000, IMAGINARY DATA:           x
REAL DATA: 114.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 141.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 114.000000, IMAGINARY DATA:           x
REAL DATA: 104.000000, IMAGINARY DATA:           x
REAL DATA: 101.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 143.000000, IMAGINARY DATA:           x
REAL DATA: 161.000000, IMAGINARY DATA:           x
REAL DATA: 168.000000, IMAGINARY DATA:           x
REAL DATA: 162.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 109.000000, IMAGINARY DATA:           x
REAL DATA: 100.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 106.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 138.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 104.000000, IMAGINARY DATA:           x
REAL DATA: 100.000000, IMAGINARY DATA:           x
REAL DATA: 104.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 144.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 114.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 111.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 132.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 140.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 144.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 141.000000, IMAGINARY DATA:           x
REAL DATA: 151.000000, IMAGINARY DATA:           x
REAL DATA: 153.000000, IMAGINARY DATA:           x
REAL DATA: 147.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 104.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 119.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 151.000000, IMAGINARY DATA:           x
REAL DATA: 155.000000, IMAGINARY DATA:           x
REAL DATA: 147.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 104.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 136.000000, IMAGINARY DATA:           x
REAL DATA: 144.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 118.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 149.000000, IMAGINARY DATA:           x
REAL DATA: 157.000000, IMAGINARY DATA:           x
REAL DATA: 155.000000, IMAGINARY DATA:           x
REAL DATA: 142.000000, IMAGINARY DATA:           x
REAL DATA: 123.000000, IMAGINARY DATA:           x
REAL DATA: 102.000000, IMAGINARY DATA:           x
REAL DATA: 88.000000, IMAGINARY DATA:           x
REAL DATA: 86.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 160.000000, IMAGINARY DATA:           x
REAL DATA: 159.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 125.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 106.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 134.000000, IMAGINARY DATA:           x
REAL DATA: 150.000000, IMAGINARY DATA:           x
REAL DATA: 155.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 103.000000, IMAGINARY DATA:           x
REAL DATA: 102.000000, IMAGINARY DATA:           x
REAL DATA: 112.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 141.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 97.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 155.000000, IMAGINARY DATA:           x
REAL DATA: 171.000000, IMAGINARY DATA:           x
REAL DATA: 171.000000, IMAGINARY DATA:           x
REAL DATA: 154.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 102.000000, IMAGINARY DATA:           x
REAL DATA: 89.000000, IMAGINARY DATA:           x
REAL DATA: 91.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 147.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 107.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 122.000000, IMAGINARY DATA:           x
REAL DATA: 139.000000, IMAGINARY DATA:           x
REAL DATA: 153.000000, IMAGINARY DATA:           x
REAL DATA: 156.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 128.000000, IMAGINARY DATA:           x
REAL DATA: 109.000000, IMAGINARY DATA:           x
REAL DATA: 98.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 113.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 159.000000, IMAGINARY DATA:           x
REAL DATA: 152.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 93.000000, IMAGINARY DATA:           x
REAL DATA: 89.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 120.000000, IMAGINARY DATA:           x
REAL DATA: 143.000000, IMAGINARY DATA:           x
REAL DATA: 161.000000, IMAGINARY DATA:           x
REAL DATA: 165.000000, IMAGINARY DATA:           x
REAL DATA: 155.000000, IMAGINARY DATA:           x
REAL DATA: 138.000000, IMAGINARY DATA:           x
REAL DATA: 121.000000, IMAGINARY DATA:           x
REAL DATA: 111.000000, IMAGINARY DATA:           x
REAL DATA: 110.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 109.000000, IMAGINARY DATA:           x
REAL DATA: 108.000000, IMAGINARY DATA:           x
REAL DATA: 117.000000, IMAGINARY DATA:           x
REAL DATA: 132.000000, IMAGINARY DATA:           x
REAL DATA: 148.000000, IMAGINARY DATA:           x
REAL DATA: 158.000000, IMAGINARY DATA:           x
REAL DATA: 157.000000, IMAGINARY DATA:           x
REAL DATA: 145.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 111.000000, IMAGINARY DATA:           x
REAL DATA: 100.000000, IMAGINARY DATA:           x
REAL DATA: 99.000000, IMAGINARY DATA:           x
REAL DATA: 109.000000, IMAGINARY DATA:           x
REAL DATA: 126.000000, IMAGINARY DATA:           x
REAL DATA: 144.000000, IMAGINARY DATA:           x
REAL DATA: 156.000000, IMAGINARY DATA:           x
REAL DATA: 156.000000, IMAGINARY DATA:           x
REAL DATA: 146.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
REAL DATA: 109.000000, IMAGINARY DATA:           x
REAL DATA: 109.000000, IMAGINARY DATA:           x
REAL DATA: 115.000000, IMAGINARY DATA:           x
REAL DATA: 124.000000, IMAGINARY DATA:           x
REAL DATA: 130.000000, IMAGINARY DATA:           x
REAL DATA: 133.000000, IMAGINARY DATA:           x
REAL DATA: 131.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 129.000000, IMAGINARY DATA:           x
REAL DATA: 132.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 137.000000, IMAGINARY DATA:           x
REAL DATA: 135.000000, IMAGINARY DATA:           x
REAL DATA: 127.000000, IMAGINARY DATA:           x
REAL DATA: 116.000000, IMAGINARY DATA:           x
